zone_id,train_rows,test_rows,mean_y_test,std_dev_y_test,MAE_train,MAE_test,RMSE_train,RMSE_test,R2_train,R2_test,Relative_MAE
48,6528,1464,98.38661202185793,54.10899595568766,4.665142463235295,12.659924863387978,6.610285915650105,18.63816669780564,0.9863169319570064,0.8812689841813212,0.12867528013440896
68,6523,1464,110.71584699453553,71.37476206026241,4.737734171393531,13.421864754098362,6.676523179474371,18.53735848211755,0.9910869029386348,0.9325001044517687,0.12122803662208184
79,6527,1464,91.18306010928961,98.36454488773428,3.994271487666616,11.4059631147541,6.3868228100892726,22.42584574344395,0.99525242020777,0.9479863611545475,0.12508861954274414
107,6523,1460,80.86301369863014,49.988392091493495,3.5862915836271654,10.44381506849315,5.077911049084357,15.201615913114733,0.9879004559551252,0.90745803020751,0.1291544130103337
132,6521,1462,220.44664842681257,146.07215392988076,10.965723048612176,34.02435704514363,15.357770818734698,47.59727344859243,0.9864400655243797,0.893750611074952,0.15434281849124862
138,5884,1305,164.99540229885056,105.98262088552622,10.039661794697484,31.940406130268197,14.961542795828485,47.007085649145,0.9759078399022341,0.803125139617488,0.19358361315072056
140,6498,1457,83.13520933424846,66.78466278946006,3.150719606032625,9.386397163120566,4.584859863263788,13.752131510762277,0.9950515325578164,0.9575688565431386,0.1129051967065143
141,6521,1461,97.98631074606433,63.07070247829899,3.820795481265655,11.308781656399724,5.440063732565149,16.83157282015777,0.991352656932901,0.9287325163889563,0.11541185263834362
142,6470,1453,143.26634549208535,105.45523747256797,6.755593508500773,22.20660013764625,11.878486581950954,38.36479435504671,0.9839690401685933,0.8675571739343344,0.1550022097748912
161,6516,1464,209.97677595628414,171.73766577084163,7.108937998772253,21.062069672131148,11.14206941851239,31.82829227923748,0.9955866773833161,0.9656289884167297,0.10030666284978174
162,6516,1461,153.28405201916496,113.05177356309663,5.7414779005524865,16.917645448323068,8.50654332968977,25.086605196820944,0.9939608199474573,0.9507250275168548,0.11036794255809385
163,6521,1464,127.45491803278688,93.79556682401056,4.9613586873178965,14.007632058287795,7.470231616792593,20.747908967727096,0.9927400013173613,0.9510355597917814,0.10990264067083258
164,6518,1462,88.75923392612859,57.848354058792616,4.084920220926665,11.784206566347471,6.1066538403705435,17.519264348830788,0.9891561568160474,0.908220249028883,0.1327659787617712
170,6515,1461,117.29226557152636,78.93907049805279,4.643131235610131,12.325701574264201,6.61435389760271,17.14141355085865,0.9930085244879402,0.952814712118607,0.1050853738241404
186,6528,1464,153.48292349726776,93.25966649703594,8.449523590686274,23.828381147540984,12.588072053004867,34.63909253072977,0.979593445692659,0.8619482086690209,0.1552510247041598
229,6504,1460,70.86164383561643,43.693085388861604,3.24694803198032,8.67645890410959,4.566921639639509,11.824697149239507,0.9885545423233605,0.9267087396782177,0.1224422470954397
230,6526,1464,139.69945355191257,93.15078567506364,6.403840024517314,18.74745218579235,10.077490809898956,28.201223834283613,0.9897885030575991,0.9082809353372477,0.13419846469782906
234,6488,1452,117.04683195592287,84.88579434115182,4.367373612823674,12.000709366391185,6.376558574981698,17.113578640894243,0.9940495830128658,0.959326566113049,0.10252912587083411
236,6370,1434,200.05090655509065,156.4703782284681,6.1647519623233915,18.37087168758717,9.283233897799619,28.173519629227474,0.9957094770867625,0.9675570074334229,0.09183098444259306
237,6495,1455,236.42405498281786,177.41582919752585,6.63046805234796,22.20498969072165,9.862959023175582,33.0063302956816,0.9961295032696446,0.9653655465374067,0.09392017953644945
238,6412,1444,79.67797783933518,57.008949095638606,3.466545747556664,9.707266851338874,5.0202219002809265,14.153717337907342,0.9907226933592606,0.9383183719973409,0.1218312401315313
239,6429,1448,115.31975138121547,78.54641312803682,4.681519676466013,14.12532458563536,6.922403141337948,21.60385957211355,0.9908030392636463,0.9242975374478726,0.12248833713611566
246,6361,1435,74.50871080139373,57.139926132072034,3.8873085992768437,11.03248780487805,5.834509092697921,16.733243213198563,0.9902446256342375,0.9141809609164078,0.14806977179199401
249,6524,1463,87.06698564593302,78.37907044351007,3.896842427958308,10.846138072453863,6.003746804268221,17.558323355901706,0.993970645909416,0.9497816057416668,0.1245723392395921
263,6517,1459,76.3118574366004,45.20061291621619,3.294139941690962,10.035455791638109,4.608753871179396,14.715495944394744,0.9879792405889423,0.8939382162224381,0.13150585149857644
